"","State","County","Year","annual_median_income","prevalence_asthma_adults_age_adjusted","COPD_deaths_age_adjusted","percent_educ","percent_female","percent_no_leisure","percent_nonwhite","percent_obesity","percent_poverty","smoking_crude"
"641","Florida","Alachua",2018,51026,9,74.1,92.4,51.7,24.6,30.1,30.7,19.8,16.6
"642","Florida","Alachua",2019,49880,9.1,77.8,84.7,51.8,24.8,30.1,32.4,18.4,14.8
"643","Florida","Baker",2018,52804,9.3,72.1,84.5,47.2,27.9,16.9,32.8,15.4,25.2
"644","Florida","Baker",2019,60454,9.3,71.2,84.3,47.3,32.9,17.3,32.6,14.9,24.1
"645","Florida","Bay",2018,51777,9.2,109.7,90.3,50.4,27.8,18.5,31.6,13.4,21.3
"646","Florida","Bay",2019,58376,8.9,86.6,85.9,50.4,30.9,17.9,31.6,12.1,21.6
"647","Florida","Bradford",2018,45075,9.6,82.1,78.3,44.8,34.3,23.2,35.9,19.5,26.7
"648","Florida","Bradford",2019,47509,9.8,76.1,78.8,44.5,35.5,23.9,38.1,21,26.3
"649","Florida","Brevard",2018,57612,8.9,61.7,92,51.1,25,16.8,32.6,11,18.4
"650","Florida","Brevard",2019,57582,8.3,55.4,85.6,51.1,26.7,16.9,29.1,9.4,16.7
"651","Florida","Broward",2018,57200,8.7,39.3,88.8,51.3,25.1,36.6,29.6,12.6,16.5
"652","Florida","Broward",2019,61429,7.8,36.1,81.9,51.3,28.2,37,30.8,12.3,14.8
"653","Florida","Calhoun",2018,38323,9.5,101.8,78.1,45.3,37.2,17.7,35.4,21.3,24.8
"654","Florida","Calhoun",2019,41399,9.1,80.8,76.1,45.8,33.9,17.2,36.4,20.3,24.4
"655","Florida","Charlotte",2018,52724,9.3,46.8,90.3,51.2,24.5,9.6,28.6,11.1,17.4
"656","Florida","Charlotte",2019,54756,8.8,41.6,85.3,51.2,25,9.5,29.4,11.4,16.1
"657","Florida","Citrus",2018,41556,9.4,71.6,88.1,51.5,30.1,6.9,29.7,15.2,19.2
"658","Florida","Citrus",2019,49762,9.2,76.1,84.8,51.6,29.2,7.1,31.9,15.2,19.9
"659","Florida","Clay",2018,62835,8.7,68.4,91.1,50.7,27.7,19.4,32.9,8.8,19.8
"660","Florida","Clay",2019,75776,8.6,66.5,86,50.7,28.1,19.9,32.6,8.3,19.6
"661","Florida","Collier",2018,70649,8.1,40.7,86.4,50.8,23.6,10.7,29.5,10.6,13.9
"662","Florida","Collier",2019,76415,7.6,37,78.5,50.7,24.6,10.8,25.9,9.4,14.2
"663","Florida","Columbia",2018,46195,9.8,77.8,86.7,48.4,32.2,22.3,37.3,17.3,23.6
"664","Florida","Columbia",2019,47087,9.7,73.5,84.1,48.2,32.6,22.4,36.3,15.6,24.8
"665","Florida","DeSoto",2018,37233,9.4,47.5,72.7,43.7,35.8,15.8,34.8,26.1,24.7
"666","Florida","DeSoto",2019,41673,8.8,44.5,70.9,43.9,38.1,15.9,37.2,21.8,22
"667","Florida","Dixie",2018,37148,9.9,97.2,79.3,44.9,33.5,12.6,31.8,24.7,28.9
"668","Florida","Dixie",2019,39793,9.8,86.8,77.6,45.1,34.9,12.8,36.3,22.2,26.2
"669","Florida","Duval",2018,55733,9.5,63.9,89.5,51.6,27.6,39.2,33.9,14.5,18.6
"670","Florida","Duval",2019,58339,9.1,61.4,83,51.5,30.1,39.5,33.5,13.5,19.1
"671","Florida","Escambia",2018,50644,9.2,79.8,90.8,50.5,25.9,31.1,31.9,14.7,19
"672","Florida","Escambia",2019,52822,9.3,78.1,84.4,50.6,28.2,31.2,30.6,15.5,18.7
"673","Florida","Flagler",2018,58975,8.9,76.9,92,51.8,24.8,16,29.9,10.3,17.6
"674","Florida","Flagler",2019,62831,8.5,69.7,87,51.9,26.1,16.2,33.3,9.7,18.5
"675","Florida","Franklin",2018,40297,9.3,112.9,80.3,44.3,29.2,15.9,33.7,22.8,24.6
"676","Florida","Franklin",2019,47504,8.9,94.8,76.9,43.2,33.4,16.6,31.7,19.2,24.1
"677","Florida","Gadsden",2018,42259,10.6,69.7,79.3,52.6,34.7,58.5,40.7,23.6,21.8
"678","Florida","Gadsden",2019,42975,10.4,54.5,77.7,52.6,35.4,58.3,39.2,19.7,21.2
"679","Florida","Gilchrist",2018,42186,9.7,77,85.9,48.2,30.4,8.7,33.1,16.8,23.8
"680","Florida","Gilchrist",2019,46171,9.5,73.1,84,48.3,32,8.6,33.8,15,22.9
"681","Florida","Glades",2018,38680,9.2,44.2,75.6,43.9,33.7,20.7,39.4,20.1,23.9
"682","Florida","Glades",2019,45412,9,39.3,72.3,44.3,36.5,21,36.6,19.3,22.9
"683","Florida","Gulf",2018,45426,8.7,110,84.9,41.6,25.9,20.1,30.1,20.3,22.8
"684","Florida","Gulf",2019,53228,9.5,87.8,81.7,49.7,31.2,15,28,14,21.2
"685","Florida","Hamilton",2018,36299,10,93.2,76.1,42,31.7,37.2,35.2,27.6,26.4
"686","Florida","Hamilton",2019,39241,9.9,100,71.2,42,38.2,37.3,37.7,32.5,26.4
"687","Florida","Hardee",2018,39169,9.3,61.2,75.8,47.3,37.7,11.7,42.2,27,23.2
"688","Florida","Hardee",2019,41430,8.9,58.7,75.2,47.3,41.3,11.8,38.3,22.1,21.9
"689","Florida","Hendry",2018,44391,9.4,41.1,65.7,47.2,37.5,17,37.4,24,23.4
"690","Florida","Hendry",2019,45107,8.8,36.9,66.2,47.1,41.8,16.9,42.2,19.5,21.5
"691","Florida","Hernando",2018,45884,9.1,76.3,87.4,51.8,27.5,10.2,32,14.1,20.7
"692","Florida","Hernando",2019,50705,8.6,77.3,84.7,51.8,31,10.4,33.1,12.4,19.1
"693","Florida","Highlands",2018,39994,9.3,67.2,84.7,51.3,30.6,14.6,31.6,20.8,18.8
"694","Florida","Highlands",2019,45723,8.6,62.1,82.9,51.3,31.5,14.8,32,15.8,18.2
"695","Florida","Hillsborough",2018,58361,8.5,61.9,88.4,51.1,26.7,25.8,32.4,14.7,17.6
"696","Florida","Hillsborough",2019,61133,8.1,60.2,80.9,51.1,26.9,26.1,30.3,13.5,16.1
"697","Florida","Holmes",2018,38040,10.2,110,77.4,47,33.2,11,40.1,23.9,27.2
"698","Florida","Holmes",2019,38874,10.1,97.3,76.1,46.9,36.2,11,40.5,20.1,25.6
"699","Florida","Indian River",2018,58228,8.8,59.8,88.7,52,25.1,13.1,28.6,10.7,17.7
"700","Florida","Indian River",2019,61173,8.4,55.9,83.9,52,27.2,13.2,29.3,11.5,16
"701","Florida","Jackson",2018,39545,9.8,96.2,80.7,44.9,33.6,30.7,37.5,23.5,24.7
"702","Florida","Jackson",2019,40543,9.6,85.7,79.1,46,37.9,30.4,39.4,19.4,24.4
"703","Florida","Jefferson",2018,46332,9.7,63.4,82.1,47.7,25.8,36.8,36.8,17.9,20.8
"704","Florida","Jefferson",2019,47192,9.6,49.4,77.7,47.5,32.4,36.3,32.7,17.6,21.2
"705","Florida","Lafayette",2018,42689,9.5,92.8,76.1,42.9,32.6,16.4,37.1,21,26.5
"706","Florida","Lafayette",2019,45480,9.2,90.2,73.2,44,36.4,15.8,36.9,18,25
"707","Florida","Lake",2018,52447,8.9,60.5,89.3,51.6,24.7,16.5,34.8,11.5,17
"708","Florida","Lake",2019,57660,8.3,59.4,85,51.6,29,16.8,31.5,10.9,17.9
"709","Florida","Lee",2018,56343,8.6,39.5,88,51,25.9,13.1,25.2,12.1,17.5
"710","Florida","Lee",2019,62364,8.3,33.8,82.3,51,26.9,13.2,30.1,11.2,16
"711","Florida","Leon",2018,51046,9,60.8,93.6,52.6,22.5,38.1,32.4,20.7,17.3
"712","Florida","Leon",2019,55081,9.1,46.4,84.4,52.7,24.9,38.5,30.5,20.8,15.2
"713","Florida","Levy",2018,39037,10,73,84.3,51,31.6,13,39.3,16.1,23.4
"714","Florida","Levy",2019,41405,9.5,79.8,83.9,50.9,33.5,13.1,37,18.2,22.9
"715","Florida","Liberty",2018,40814,9.1,71.2,81.4,38,34.7,22.9,37.1,23.8,27
"716","Florida","Liberty",2019,44236,9.3,55.6,78.4,38,33.8,23.2,35.4,23,26
"717","Florida","Madison",2018,38249,10.2,88.5,80.7,47,35.2,40.3,38.4,22.8,26.3
"718","Florida","Madison",2019,37919,9.6,89.3,79.7,47,35.5,40.5,36.9,22.7,23.3
"719","Florida","Manatee",2018,59587,8.8,53.6,89.2,51.7,24.9,14,28.3,10.4,17.5
"720","Florida","Manatee",2019,64151,8.6,51.4,82.8,51.7,26.2,14.2,29.7,11.3,15.8
"721","Florida","Marion",2018,44517,9.4,70,87.3,52,28.8,17.9,38.3,15.1,18.5
"722","Florida","Marion",2019,49079,9,72.1,83.1,52.1,29.5,18,34,14.9,19.4
"723","Florida","Martin",2018,61592,8.2,41.9,90.5,50.7,22.5,10,26.3,10.7,16.1
"724","Florida","Martin",2019,70806,7.9,39,82.8,50.7,25.6,10.1,24.2,8.9,15.2
"725","Florida","Miami-Dade",2018,52043,7.9,40.2,81.5,51.4,30.1,21.3,29.5,16,15.6
"726","Florida","Miami-Dade",2019,54991,7.7,36.8,75.3,51.4,33.7,21.1,29.9,15.7,13.2
"727","Florida","Monroe",2018,67094,8,35.9,91.3,47.7,24.6,11.1,26.5,12,16.7
"728","Florida","Monroe",2019,67528,7.5,33,83,47.9,26.7,11.3,30.2,9.9,16.6
"729","Florida","Nassau",2018,66898,8.5,63.9,91.4,50.8,23.4,9.4,31.8,10.4,18.7
"730","Florida","Nassau",2019,72818,8.5,62.6,84.2,50.9,26,9.5,29.8,9,17.8
"731","Florida","Okaloosa",2018,62779,8.7,89.3,91.8,49.2,26.1,18.8,29.3,12.7,19.5
"732","Florida","Okaloosa",2019,63520,8.6,74.8,85.8,49.3,26.4,19,27.7,10.6,17.8
"733","Florida","Okeechobee",2018,42258,9.8,50,75,46.4,34.9,13.2,37.3,21.5,24.6
"734","Florida","Okeechobee",2019,45225,8.9,47.4,75.8,46.3,39.6,13.1,37,18.4,23
"735","Florida","Orange",2018,58037,8.8,64.7,88.5,51,26.3,31.9,32.4,15.6,15.9
"736","Florida","Orange",2019,63133,8.3,60.6,80.5,50.9,29.9,32.1,33.5,12.6,15.5
"737","Florida","Osceola",2018,50473,8.2,61.3,86.8,50.7,30.3,20.8,35.2,13.4,16.6
"738","Florida","Osceola",2019,52270,8.1,58.2,83,50.7,31.5,21.1,36.1,13.4,15.8
"739","Florida","Palm Beach",2018,61735,8.5,42.7,88.2,51.5,26.7,25.2,30,12.2,15.2
"740","Florida","Palm Beach",2019,66621,8,38.9,79.8,51.5,24.4,25.4,26.9,11.4,14
"741","Florida","Pasco",2018,53788,8.8,64.1,89,51.4,27.8,12.1,32.5,12.6,20
"742","Florida","Pasco",2019,55745,8.4,62.2,84.4,51.4,28.2,12.6,27.6,11.3,20.1
"743","Florida","Pinellas",2018,52226,9,62.3,91.1,52,23.6,17.5,30.9,11.7,18.7
"744","Florida","Pinellas",2019,56708,8.7,60.7,83.6,52,23.3,17.6,29.8,11.4,17.7
"745","Florida","Polk",2018,51354,9.1,57.8,84.8,51,29,21.2,33.6,15.7,19.5
"746","Florida","Polk",2019,51817,9,57.1,81.3,51,32.8,21.4,36.6,14,17.8
"747","Florida","Putnam",2018,39578,10.2,72.6,80.9,50.5,34.6,19.8,38.5,18.8,25.4
"748","Florida","Putnam",2019,41986,9.7,70.5,79.8,50.6,35.9,19.9,36.6,22.4,25.5
"749","Florida","Santa Rosa",2018,69541,8.7,87.8,91.6,49,25.2,12.9,30.6,9.5,21.2
"750","Florida","Santa Rosa",2019,66139,8.3,80.7,84.8,49,26.2,13.1,31.2,9.8,19.3
"751","Florida","Sarasota",2018,61652,8.4,43.3,92.8,52.4,21.1,8.5,23.2,10.3,15.1
"752","Florida","Sarasota",2019,66258,8,39.4,85.1,52.3,22.7,8.6,27.3,7.8,14.7
"753","Florida","Seminole",2018,67187,8.3,63.7,94.3,51.7,23.9,21.1,27.6,9.9,15.9
"754","Florida","Seminole",2019,69954,8,58.9,84.5,51.6,23.2,21.5,28.5,9.3,13.5
"755","Florida","St. Johns",2018,81925,8.3,66,94.6,51.3,20.7,11.2,25.7,6.6,15.5
"756","Florida","St. Johns",2019,90839,8.3,64.8,83.1,51.3,22.2,11.4,26.7,6.4,15.7
"757","Florida","St. Lucie",2018,53377,9.1,50.6,86.1,51.2,27.9,26,34.2,12.1,18.6
"758","Florida","St. Lucie",2019,57292,8.4,45.7,82.2,51.2,28.7,26.6,31.5,10.5,17
"759","Florida","Sumter",2018,55324,8.3,70.8,91.6,50.2,21.8,9.8,30.8,9.3,14
"760","Florida","Sumter",2019,63464,7.9,73.8,83.7,50.4,23.7,9.7,29.5,8.9,13.2
"761","Florida","Suwannee",2018,38525,9.6,98.4,81.5,48.6,30.9,15.8,35.8,19.3,23.4
"762","Florida","Suwannee",2019,49453,9.1,96.6,79.5,48.7,31.8,15.8,35.8,17.1,21.8
"763","Florida","Taylor",2018,42307,9.8,83.3,77.4,45.7,33.2,23.7,37.7,21.6,25.6
"764","Florida","Taylor",2019,42987,9.8,74,78.6,45.6,34.6,23.9,37.2,19.9,26.5
"765","Florida","Union",2018,45906,9.4,74.9,76.9,34.6,33.8,26.2,36.9,20.6,29.3
"766","Florida","Union",2019,50893,9,67.4,74.7,35.4,32.3,25.6,38.4,19.9,27
"767","Florida","Volusia",2018,50285,8.8,65,90,51.2,25.8,16.1,35.4,13.2,18.8
"768","Florida","Volusia",2019,53554,8.3,62.3,85.5,51.2,27.8,16.4,29.1,13.1,19.4
"769","Florida","Wakulla",2018,58203,8.9,57.8,87.9,46.6,25.9,16.7,35.5,11.9,21.8
"770","Florida","Wakulla",2019,58640,8.6,44.5,83.8,45.8,28.2,17.7,34.5,12,21
"771","Florida","Walton",2018,60973,8.9,99.3,88.5,49.5,25.8,10.2,29.7,11.4,21.1
"772","Florida","Walton",2019,62600,8.5,85.6,82.5,49.6,26.2,10.4,31.7,10.8,20.2
"773","Florida","Washington",2018,39225,10,107.5,81.2,46.4,32.7,19.4,37.7,22.8,28.2
"774","Florida","Washington",2019,42518,9.5,87.9,79,46,34.8,19.8,37.2,20.1,25.4
"775","Georgia","Appling",2018,42781,10.5,92.3,74.5,50,33.3,22.6,36.1,21.9,23.6
"776","Georgia","Appling",2019,43821,10.1,84.7,73.7,50.1,38.1,22.8,36.6,20.9,24.6
"777","Georgia","Atkinson",2018,36779,10.6,110.3,69.1,49.6,35.4,22.5,37,26.1,25.4
"778","Georgia","Atkinson",2019,38581,10,119.7,67.8,49,42.3,23,38.4,23.2,25.3
"779","Georgia","Bacon",2018,38775,10.4,99.1,81.5,51,33.4,19.8,36.8,22.8,24.3
"780","Georgia","Bacon",2019,41807,10.1,96,80.9,51.1,37.9,19.6,38.4,19.2,24.6
"781","Georgia","Baker",2018,38288,10.4,83.9,78.3,50.7,31,47.2,35.6,22.9,20.4
"782","Georgia","Baker",2019,39515,10.1,65,82.8,50.4,36.3,46.8,37.8,24.8,21.2
"783","Georgia","Baldwin",2018,42727,10.5,70.2,84.4,49.3,29.7,46,38.2,23.8,20.9
"784","Georgia","Baldwin",2019,44429,10.1,57.7,81.5,49.3,33.4,45.9,39.5,22.9,20.6
"785","Georgia","Banks",2018,55384,9.7,81.2,77.1,49.1,29.2,6.4,31.9,13,22.8
"786","Georgia","Banks",2019,53481,9.6,78,73.4,49.1,34.6,6.3,34,12.8,23.2
"787","Georgia","Barrow",2018,61413,9.3,63.5,83,51,26.6,19.7,32.7,9.5,20.5
"788","Georgia","Barrow",2019,68924,8.9,50.5,80.3,50.9,33.6,20.3,33,9.7,21.2
"789","Georgia","Bartow",2018,57409,9.5,57.7,83,50.7,27.1,15.1,30.8,12.2,21.3
"790","Georgia","Bartow",2019,60254,9.3,56.6,79.6,50.6,32.1,15.2,32.3,12.5,21
"791","Georgia","Ben Hill",2018,35020,10.8,97.4,82.7,52.9,33.5,39.3,40.4,26.2,22.9
"792","Georgia","Ben Hill",2019,35931,10.6,97.4,83.6,53,38.8,40.1,39.4,22.8,23.5
"793","Georgia","Berrien",2018,39412,10.4,104.8,78.1,50.9,31.6,13.7,35,21.8,24.6
"794","Georgia","Berrien",2019,42058,10.2,101.3,77.3,50.8,37.7,14.1,36.5,20.1,25.6
"795","Georgia","Bibb",2018,41390,10.8,84.8,85.7,53.1,31.3,59.8,38.7,24.7,19.8
"796","Georgia","Bibb",2019,43066,10.5,71.6,81.5,53.2,34.9,60.1,38.7,23.2,21.7
"797","Georgia","Bleckley",2018,46019,10,86.4,87.6,52.2,28.9,29,35.3,18.7,20.2
"798","Georgia","Bleckley",2019,48115,10,80.6,87.4,52.2,33.1,29.5,37.7,18.5,20
"799","Georgia","Brantley",2018,41874,10.6,85.5,80,50.5,32.1,6.4,33.5,18.3,25.7
"800","Georgia","Brantley",2019,44680,10.3,78.1,78.8,50.2,37.7,6.6,38.1,16.1,26.7
"801","Georgia","Brooks",2018,36354,10.5,96.7,82.8,51.1,30.8,38.6,35.1,24.5,22.2
"802","Georgia","Brooks",2019,39554,10,86.2,81.1,51.2,36,38.9,37,21.9,21.6
"803","Georgia","Bryan",2018,79658,9,72.9,91.9,50.7,24.1,20.8,31.9,8.6,17.4
"804","Georgia","Bryan",2019,79296,8.7,72.2,84.7,50.8,26.9,21.7,33.6,7.8,17.3
"805","Georgia","Bulloch",2018,43766,10.2,87.8,86.9,50.9,26.3,33.5,39.4,22.9,18.7
"806","Georgia","Bulloch",2019,48788,10,93.9,83.2,50.9,32.7,33.6,37.5,21.9,19.4
"807","Georgia","Burke",2018,42785,11.1,79.7,79.2,52.5,33.1,50.1,37.4,22,23.4
"808","Georgia","Burke",2019,42632,10.6,76.3,79.6,52.6,36.2,49.7,38.3,23.6,23.2
"809","Georgia","Butts",2018,48831,10.2,76.3,79.2,47.1,31.7,31.2,35.5,19.7,23.9
"810","Georgia","Butts",2019,47410,9.8,72,78.2,47,35.8,31.6,36.7,14.7,24.6
"811","Georgia","Calhoun",2018,33393,10.8,71.8,74.3,39.6,37.7,63.8,42.4,37.2,27
"812","Georgia","Calhoun",2019,34960,10.6,57,71.5,39.5,42.1,64,43.4,35.9,27.9
"813","Georgia","Camden",2018,56555,9.2,75.1,91.8,48.7,25.8,24.7,35.1,15.8,18.8
"814","Georgia","Camden",2019,58552,9.2,60.8,86.4,48.6,29.9,25.1,35.1,13.8,18.8
"815","Georgia","Candler",2018,35841,10.8,84.9,76.6,51.1,34.5,27.6,40.7,24.6,24.7
"816","Georgia","Candler",2019,41665,10.4,99.6,74.1,51.3,40.3,27.8,39.3,23.1,24.9
"817","Georgia","Carroll",2018,52502,9.7,50.8,83.7,51.2,28.9,23.3,33.4,16.8,20.2
"818","Georgia","Carroll",2019,59193,9.7,48.7,79.6,51.3,31.9,23.6,34,14.9,21.4
"819","Georgia","Catoosa",2018,55807,9.2,88.8,87.4,51.5,24.4,6.7,28.3,11.9,18.4
"820","Georgia","Catoosa",2019,60753,9.1,95.7,82.3,51.5,29.4,6.9,34.7,10,19.4
"821","Georgia","Charlton",2018,40499,10.2,83.5,73.3,42.2,33.1,34.1,38.5,25.6,24.4
"822","Georgia","Charlton",2019,42891,9.9,73.9,73.3,41.3,39.3,35,38.7,25.9,26.7
"823","Georgia","Chatham",2018,54165,9.6,72.6,89.6,51.9,24.3,46.8,32.6,14.4,16.9
"824","Georgia","Chatham",2019,57122,9.3,67,82,51.9,29.1,47.1,33.1,14.8,17.6
"825","Georgia","Chattahoochee",2018,46869,8.8,91.8,92.8,35.9,27.3,30.1,34.4,17.3,18.6
"826","Georgia","Chattahoochee",2019,46106,8.7,78.5,86.9,35.4,32.5,29.8,37.2,18.5,18.6
"827","Georgia","Chattooga",2018,39513,10.5,109.1,73.1,48.9,31.4,13.2,36,19.5,24.7
"828","Georgia","Chattooga",2019,41561,10.3,98.5,72.5,49.1,36.6,13.2,37.7,17.4,26.5
"829","Georgia","Cherokee",2018,82733,8.5,48.1,91.4,50.8,20.1,12.3,27.8,7.4,15.3
"830","Georgia","Cherokee",2019,88635,8.3,45.2,80.6,50.8,24.4,12.6,32.5,6.5,15.1
"831","Georgia","Clarke",2018,42112,10,83.5,87.1,52.5,26,35.4,32.9,27,17.4
"832","Georgia","Clarke",2019,41036,9.7,69.2,79.8,52.6,29.7,35.2,36.3,25.7,17.6
"833","Georgia","Clay",2018,30239,12.2,62,79.8,53.1,38.9,62.4,43.5,29.8,24.5
"834","Georgia","Clay",2019,24732,12.1,45.3,77.7,53.3,43.3,62.2,44.8,28.8,25.5
"835","Georgia","Clayton",2018,46059,11,44.9,84.7,53.3,32.7,80.7,40.3,17.6,19.5
"836","Georgia","Clayton",2019,50737,10.4,41,81.8,53.3,38.2,81.2,39.8,16,20.3
"837","Georgia","Clinch",2018,37593,11.6,103,70.8,51.5,36,30.4,39.1,25.8,27.3
"838","Georgia","Clinch",2019,42928,11.6,109.2,67.2,51.8,43.2,30.9,41,22,29.5
"839","Georgia","Cobb",2018,78603,8.6,44.8,91.8,51.5,21.6,37.3,27.6,9.1,14
"840","Georgia","Cobb",2019,79622,8.4,43.4,79.7,51.5,24.5,37.7,30.6,8.3,14.2
"841","Georgia","Coffee",2018,39480,10.1,105.6,77.4,48.7,31.8,31.6,34.5,23.9,23.1
"842","Georgia","Coffee",2019,41675,10.1,97.1,74.7,48.7,37.5,32,37.1,20.2,24.5
"843","Georgia","Colquitt",2018,38633,10.5,107.6,73.8,50.2,34.8,27.5,37.4,23.9,23
"844","Georgia","Colquitt",2019,41899,9.9,94.3,73.1,50.4,39.4,27.6,37.4,21.9,23
"845","Georgia","Columbia",2018,82184,8.7,72.1,92.6,51.1,23.5,26.6,29.5,7.1,16
"846","Georgia","Columbia",2019,88285,8.4,70.2,85.3,51.2,24.8,27.2,30.6,5.6,16
"847","Georgia","Cook",2018,38827,10.4,110.2,79.9,52,31.6,30.7,35.1,24.5,22.8
"848","Georgia","Cook",2019,40670,10.4,107.3,77.5,52.1,35.6,30.7,39.4,21.4,23.5
"849","Georgia","Coweta",2018,70974,9,53.9,88.8,51.4,25.3,23.1,31.6,10.2,16.9
"850","Georgia","Coweta",2019,79232,8.8,48.3,80.6,51.4,28.6,23.2,31.5,9,17.5
"851","Georgia","Crawford",2018,48004,10.1,85.8,83.5,49.6,30.2,24,36,18.5,22.4
"852","Georgia","Crawford",2019,50411,9.8,80.8,82.5,49.6,36.4,24.1,34.3,15.3,23.2
"853","Georgia","Crisp",2018,36096,11.2,100.5,80.1,52.9,34.3,47.4,38.1,27.4,24.1
"854","Georgia","Crisp",2019,40482,11.1,84.9,80.6,52.7,39.4,47.8,43.3,26.7,24.6
"855","Georgia","Dade",2018,48779,9.6,99.4,79.1,51.1,26.7,4.2,31.4,13.6,20.2
"856","Georgia","Dade",2019,45986,9.5,95.1,78.6,50.9,31.6,4.6,32.6,13.5,21.3
"857","Georgia","Dawson",2018,68835,8.7,64.7,86,50.5,22.5,3.8,27.3,8.7,16.3
"858","Georgia","Dawson",2019,69155,8.9,57,78.8,50.3,26.3,4.2,29.7,8.8,17.5
"859","Georgia","Decatur",2018,38441,10.8,75,81.6,51.5,32.5,45.7,32.3,23.2,21.8
"860","Georgia","Decatur",2019,40473,10.4,65.8,81.5,51.4,36.9,46,38.7,23.4,21.6
"861","Georgia","DeKalb",2018,63477,9.3,46.3,89,52.8,22.2,64.3,29.1,14.3,16
"862","Georgia","DeKalb",2019,63606,9.1,40.6,79.7,52.8,26.6,64.2,32.7,12.9,15
"863","Georgia","Dodge",2018,35636,10.1,71.4,83.2,48.1,30.9,32.9,39.6,26.5,22.4
"864","Georgia","Dodge",2019,41118,10,87.8,83.8,47.9,35.7,33.2,37.4,20.6,24.1
"865","Georgia","Dooly",2018,37278,10.5,81.4,75.2,45.7,32.4,52.1,42.1,29.1,23.2
"866","Georgia","Dooly",2019,37109,9.9,76.1,74.4,45.7,38.4,52.3,41.8,28.2,23.3
"867","Georgia","Dougherty",2018,38806,11.4,85.5,82.5,53.9,33.2,73.5,41.9,29.5,21.2
"868","Georgia","Dougherty",2019,36894,11.2,69.2,80.6,54,37.2,73.8,38.5,27.6,22.2
"869","Georgia","Douglas",2018,60512,9.7,42.8,88,52.5,26.9,53.4,34.7,12.6,18
"870","Georgia","Douglas",2019,62915,9.6,41.6,82,52.6,30.6,54.8,34.4,10.9,18.7
"871","Georgia","Early",2018,34984,11.4,69.5,80.1,53.4,33.7,53.8,38.8,26.5,22.5
"872","Georgia","Early",2019,40011,11.2,62.1,78.1,53.5,38.8,54.3,42.5,27.3,24.3
"873","Georgia","Echols",2018,38667,9.8,95.9,71.5,49,32.6,12.5,35.9,24.4,23.3
"874","Georgia","Echols",2019,40408,9.1,106.2,74.7,48.9,38.2,13.3,36.3,21.6,22.4
"875","Georgia","Effingham",2018,65793,9.2,71,88,50.3,24.4,17.8,32.8,8.3,20.1
"876","Georgia","Effingham",2019,71628,8.9,72,83.9,50.3,28,18.1,31.2,9.1,20.4
"877","Georgia","Elbert",2018,39681,10.6,84.7,77.4,52.2,31.8,31.7,37.2,18.5,21.7
"878","Georgia","Elbert",2019,40962,10.3,82.5,77.3,52.5,37.4,31.8,37,20.6,23.2
"879","Georgia","Emanuel",2018,37574,10.8,87.2,79.2,50.6,33.2,37.2,37.9,25.1,24.5
"880","Georgia","Emanuel",2019,38529,10.3,96,77.4,50.3,35.7,37.2,39,20.9,24.2
"881","Georgia","Evans",2018,37319,10.8,73.7,74.3,51.3,33,35.1,39.2,26.6,23.2
"882","Georgia","Evans",2019,41425,10.4,88.3,72.8,51.5,40.2,34.9,38.7,24.1,24.1
"883","Georgia","Fannin",2018,43439,9.4,91.4,86.7,51.5,25.7,3.1,29.4,16.8,17.9
"884","Georgia","Fannin",2019,47980,9.2,78,82.3,51.4,31.2,3.2,29.6,12.1,18.8
"885","Georgia","Fayette",2018,95021,8.3,49.4,94.8,51.6,20.3,32.6,29.2,5,12
"886","Georgia","Fayette",2019,94563,8.3,43.3,83.6,51.6,23,33.4,31.1,5.4,13.2
"887","Georgia","Floyd",2018,44906,9.8,98.9,81,51.6,30.8,19.6,33.8,20.7,20.3
"888","Georgia","Floyd",2019,50520,9.4,98.8,78.8,51.5,32.4,19.8,33.1,16.4,21.4
"889","Georgia","Forsyth",2018,105921,7.8,49.2,92.8,50.4,17.3,21.4,25.2,5,12.4
"890","Georgia","Forsyth",2019,113332,7.5,43.2,77.1,50.4,22.4,22.9,26.5,4.5,12.9
"891","Georgia","Franklin",2018,42904,10,96.2,80,51,30.2,13.1,32,16.4,22.4
"892","Georgia","Franklin",2019,47691,9.7,89.9,79.3,50.9,33.2,13.1,34.1,17.3,21.6
"893","Georgia","Fulton",2018,70808,8.7,48.3,92.1,51.6,21.2,54.4,26.5,13.5,13.5
"894","Georgia","Fulton",2019,79235,8.5,41.7,79.9,51.6,23.8,54.6,29.4,13.8,14.2
"895","Georgia","Gilmer",2018,47757,9.2,82.7,81.9,50,27.4,4.3,31.6,17.4,19.8
"896","Georgia","Gilmer",2019,57007,9.2,78.6,77.5,50,30,4.4,32.3,14.6,20.1
"897","Georgia","Glascock",2018,42820,10.4,55.9,77.4,50.6,30.8,11.1,34.9,17.5,24
"898","Georgia","Glascock",2019,49350,10,60.6,74.8,50.7,33.7,10.8,34.9,16.9,23.6
"899","Georgia","Glynn",2018,53906,9.7,78,87.9,52.9,26.1,31.1,31.9,16.6,17.5
"900","Georgia","Glynn",2019,58017,9.5,61.4,81.9,53,31.8,31,32.2,15.4,19
"901","Georgia","Gordon",2018,49101,9.8,81.3,77.7,50.7,31,8.3,35.3,16.8,22.4
"902","Georgia","Gordon",2019,53373,9.3,77.5,75.8,50.7,34.9,8.5,37.4,12.3,21.7
